"Latitude","CMT Primary","Segment","Site Name","Longitude","Region","Engagement","Country","City","Training","Site Code"
"36.035288","No","Petcare","Brentwood","-86.805725","North America","Zero","United States","Franklin","None","BRN"
"48.14589","No","Royal Canin","Bratislava","17.10714","Central Europe/CIS","Zero","Slovakia","Bratislava","None","BRT"
"50.8714709","Yes","Food","Brussels","4.4616308","Western Europe","Partial: CMT 2","Belgium","Sint-Stevens-Woluwe","None","BRU"
"50.86920","No","Multisales","Brussels","4.45024","Western Europe","Zero","Belgium","Sint-Stevens-Woluwe","None","BRU (SH)"
"44.39258","No","Food","Bucharest","26.171494","Central Europe/CIS","Zero","Romania","Bucharest","None","BUC"
"-33.428272","Yes","Petcare","Bathurst","149.639102","Asia Pacific","Partial: CMT 2","Australia","Raglan","None","BTH"
"-34.5875","No","Petcare","Buenos Aires","-58.6725","Latin America","Zero","Argentina","San Isidro","None","BUE"
"47.478668","No","Food","Budapest","19.027529","Central Europe/CIS","Zero","Hungary","Budapest","None","BUD"
"41.75090","No","Chocolate","Burr Ridge","-87.92059","North America","Partial: Training 2","United States","Burr Ridge","2014-Submitted","BUR"
"30.0333333","No","Chocolate","Cairo","31.35","META","Zero","Egypt","Maadi","None","CAI"
"41.530442","Yes","Wrigley","Santiga/Wrigley Cafosa","2.145701","Western Europe","Partial: CMT 2","Spain","Santiga","None","CAF"
"51.04532","No","Wrigley","Calgary","-114.05810","North America","Zero","Canada","Calgary","None","CAL"
"-22.90994","No","Royal Canin","Campinas","-47.06263","Latin America","Zero","Brazil","Campinas","None","CAM"
"46.202185","No","Royal Canin","Canals","1.264387","Western Europe","Zero","Western Europe","Canals","None","CAN"
"10.49102","No","Petcare","Caracas","-66.90206","Latin America","Zero","Venezuela","Caracas","None","CAR"
"33.5930556","No","Chocolate","Morocco","-7.6163889","META","Zero","Morocco","Casablanca","None","CAS"
"-33.9237762","No","Food","Cape Town","18.4233455","META","Zero","South Africa","Cape Town","None","CAP"
"37.755821","Yes","Petcare","Tracy","-121.417422","North America","Partial: CMT 2","United States","Tracy","None","CAT"
"30.57227","No","Petcare","Chengdu","104.06654","Asia Pacific","Zero","China","Chengdu","None","CDP"
"31.223995","No","Petcare","Christchurch","121.473019","Asia Pacific","Zero","New Zealand","Christchurch","None","CHC"
"40.28889","No","Petcare","Chalfont","-75.20966","North America","Zero","United States","Chalfont","None","CHA"
"54.3569983","No","Chocolate","Cherdakly","48.8499488","Central Europe/CIS","Zero","Russia","Cherdakly","None","CHE"
"48.0833333","Yes","Food","Chateaudun","1.3333333","Western Europe","Partial: CMT 2","France","Chateaudun","None","CHD"
"41.9188","No","Chocolate","Chicago","-87.7947","North America","Partial: Training 2","United States","Chicago","2014-Submitted","CHI"
"39.13980","No","Multisales","Cincinnatti","-84.50595","North America","Zero","United States","Cincinnatti","None","CIN"
